timestamp,sample_id,attack_probability,decision_label
1766758368,0,0.99999475,ALERT
1766758369,1,0.9999951,ALERT
1766758370,2,0.0011466967,ALERT
1766758371,3,0.99858093,ALERT
1766758372,4,0.12724388,ALERT
1766758373,5,1.8327471e-05,NORMAL
1766758374,6,0.002296077,ALERT
1766758375,7,0.00072398694,NORMAL
1766758376,8,2.3806188e-06,NORMAL
1766758377,9,0.002049992,ALERT
1766758378,10,0.012268658,ALERT
1766758379,11,0.0010728406,ALERT
1766758380,12,0.999998,ALERT
1766758381,13,0.999181,ALERT
1766758382,14,5.0195144e-06,NORMAL
1766758383,15,1.9088699e-05,NORMAL
1766758384,16,7.02055e-06,NORMAL
1766758385,17,5.934322e-06,NORMAL
1766758386,18,0.03268318,ALERT
1766758387,19,0.99999714,ALERT
1766758388,20,0.9987967,ALERT
1766758389,21,0.9802004,ALERT
1766758390,22,2.868413e-05,NORMAL
1766758391,23,6.6056164e-06,NORMAL
1766758392,24,0.99963415,ALERT
1766758393,25,0.99958235,ALERT
1766758394,26,2.4294726e-05,NORMAL
1766758395,27,2.293387e-05,NORMAL
1766758396,28,0.9986187,ALERT
1766758397,29,0.029024117,ALERT
1766758398,30,0.11452875,ALERT
1766758399,31,0.00011314145,NORMAL
1766758400,32,1.3689787e-05,NORMAL
1766758401,33,0.99999356,ALERT
1766758402,34,0.99999976,ALERT
1766758403,35,0.06641588,ALERT
1766758404,36,3.935009e-05,NORMAL
1766758405,37,0.017764581,ALERT
1766758406,38,4.000696e-05,NORMAL
1766758407,39,0.0008921143,NORMAL
1766758408,40,0.99999976,ALERT
1766758409,41,1.9975427e-05,NORMAL
1766758410,42,4.124068e-06,NORMAL
1766758411,43,0.003988952,ALERT
1766758412,44,0.9997012,ALERT
1766758413,45,3.4473414e-05,NORMAL
1766758414,46,0.9999968,ALERT
1766758415,47,0.999749,ALERT
1766758416,48,0.96516055,ALERT
1766758417,49,0.013265053,ALERT
1766758418,50,0.00010779928,NORMAL
1766758419,51,0.00032942957,NORMAL
1766758420,52,0.9999143,ALERT
1766758421,53,0.9999995,ALERT
1766758422,54,0.018181358,ALERT
1766758423,55,2.2800389e-06,NORMAL
1766758424,56,0.9997012,ALERT
1766758425,57,0.0054100063,ALERT
1766758426,58,0.006816426,ALERT
1766758427,59,2.2620497e-05,NORMAL
1766758428,60,0.0003255423,NORMAL
1766758429,61,0.5617453,ALERT
1766758430,62,0.002245878,ALERT
1766758431,63,0.00015284585,NORMAL
1766758432,64,0.99991274,ALERT
